id;lang;categorie;attendu;predit;outcome_ok;type_ok;tp;fp;fn;tp_sans_ts;fp_sans_ts;fn_sans_ts;latence_ms;http_ms;notes
EN-01;en;descriptif;executed;executed;1;1;0;1;1;1;0;0;2.9;;"SelectionParameter: horodatages seuls"
EN-02;en;descriptif;executed;executed;1;1;1;1;1;2;0;0;2.2;;"SelectionParameter: horodatages seuls"
EN-03;en;déictique;executed;executed;1;1;1;1;1;2;0;0;1.6;;"SelectionParameter: horodatages seuls"
EN-04;en;anaphorique;executed;executed;1;1;1;1;1;2;0;0;2.1;;"SelectionParameter: horodatages seuls"
EN-05;en;quantifié;executed;executed;1;1;0;1;1;1;0;0;2.4;;"SelectionParameter: horodatages seuls"
EN-06;en;clarification;clarification;clarification;1;1;0;1;1;1;0;0;1.7;;"SelectionParameter: horodatages seuls"
FR-01;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;32.9;;"SelectionParameter: horodatages seuls"
FR-02;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;3.0;;"SelectionParameter: horodatages seuls"
FR-03;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;2.6;;"SelectionParameter: horodatages seuls"
FR-04;fr;descriptif;executed;executed;1;1;1;1;1;2;0;0;6.1;;"SelectionParameter: horodatages seuls"
FR-05;fr;descriptif;executed;executed;1;1;1;1;1;1;1;1;2.8;;"SelectionParameter: limit (+ horodatages ?)"
FR-06;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;3.2;;"SelectionParameter: horodatages seuls"
FR-07;fr;descriptif;executed;executed;1;1;0;1;1;1;0;0;4.0;;"SelectionParameter: horodatages seuls"
FR-08;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;3.4;;""
FR-09;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;4.2;;""
FR-10;fr;descriptif;executed;executed;1;1;0;0;0;0;0;0;6.7;;""
FR-11;fr;déictique;executed;executed;1;1;1;1;1;2;0;0;2.3;;"SelectionParameter: horodatages seuls"
FR-12;fr;déictique;executed;executed;1;1;1;1;1;2;0;0;5.2;;"SelectionParameter: horodatages seuls"
FR-13;fr;déictique;executed;executed;1;1;0;2;2;2;0;0;4.3;;"SelectionParameter: horodatages seuls | PointParameter: horodatages seuls"
FR-14;fr;déictique;executed;executed;1;1;0;1;1;1;0;0;3.2;;"SelectionParameter: horodatages seuls"
FR-15;fr;déictique;executed;executed;1;1;0;1;1;1;0;0;4.6;;"SelectionParameter: horodatages seuls"
FR-16;fr;déictique;executed;executed;1;1;0;1;0;0;1;0;4.2;;"SelectionParameter en trop"
FR-17;fr;anaphorique;executed;executed;1;1;1;1;1;2;0;0;2.7;;"SelectionParameter: horodatages seuls"
FR-18;fr;anaphorique;executed;executed;1;1;0;1;1;1;0;0;3.7;;"SelectionParameter: horodatages seuls"
FR-19;fr;anaphorique;executed;executed;1;1;0;1;1;1;0;0;2.5;;"SelectionParameter: horodatages seuls"
FR-20;fr;anaphorique;executed;executed;1;1;0;1;1;1;0;0;2.8;;"SelectionParameter: horodatages seuls"
FR-21;fr;quantifié;executed;executed;1;1;1;1;1;2;0;0;3.7;;"SelectionParameter: horodatages seuls"
FR-22;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;2.3;;"SelectionParameter: horodatages seuls"
FR-23;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;4.4;;"SelectionParameter: horodatages seuls"
FR-24;fr;quantifié;executed;executed;1;1;0;1;1;1;0;0;8.7;;"SelectionParameter: horodatages seuls"
FR-25;fr;clarification;clarification;clarification;1;1;0;1;1;1;0;0;6.3;;"SelectionParameter: horodatages seuls"
FR-26;fr;clarification;clarification;clarification;1;1;0;1;1;0;1;1;9.6;;"SelectionParameter: limit (+ horodatages ?)"
FR-27;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;6.1;;""
FR-28;fr;rejet;not_understood;not_understood;1;1;0;0;0;0;0;0;7.2;;""
FR-29;fr;no_match;no_match;executed;1;1;0;1;1;1;0;0;7.6;;"SelectionParameter: horodatages seuls"
